
Bharatiya Janata Party - BJP,240,0,240
Indian National Congress - INC,99,0,99
Samajwadi Party - SP,37,0,37
All India Trinamool Congress - AITC,29,0,29
Dravida Munnetra Kazhagam - DMK,22,0,22
Telugu Desam - TDP,16,0,16
Janata Dal  (United) - JD(U),12,0,12
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8
Shiv Sena - SHS,7,0,7
Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5
Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4
Rashtriya Janata Dal - RJD,4,0,4
Communist Party of India  (Marxist) - CPI(M),4,0,4
Indian Union Muslim League - IUML,3,0,3
Aam Aadmi Party - AAAP,3,0,3
Jharkhand Mukti Morcha - JMM,3,0,3
Janasena Party - JnP,2,0,2
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2
Janata Dal  (Secular) - JD(S),2,0,2
Viduthalai Chiruthaigal Katchi - VCK,2,0,2
Communist Party of India - CPI,2,0,2
Rashtriya Lok Dal - RLD,2,0,2
Jammu & Kashmir National Conference - JKN,2,0,2
"United People’s Party, Liberal - UPPL",1,0,1
Asom Gana Parishad - AGP,1,0,1
Hindustani Awam Morcha (Secular) - HAMS,1,0,1
Kerala Congress - KEC,1,0,1
Revolutionary Socialist Party - RSP,1,0,1
Nationalist Congress Party - NCP,1,0,1
Voice of the People Party - VOTPP,1,0,1
Zoram People’s Movement - ZPM,1,0,1
Shiromani Akali Dal - SAD,1,0,1
Rashtriya Loktantrik Party - RLTP,1,0,1
Bharat Adivasi Party - BHRTADVSIP,1,0,1
Sikkim Krantikari Morcha - SKM,1,0,1
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1
Apna Dal (Soneylal) - ADAL,1,0,1
AJSU Party - AJSUP,1,0,1
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1
Independent - IND,7,0,7


Telugu Desam - TDP,135,0,135
Janasena Party - JnP,21,0,21
Yuvajana Sramika Rythu Congress Party - YSRCP,11,0,11
Bharatiya Janata Party - BJP,8,0,8


Bharatiya Janata Party - BJP,78,0,78
Biju Janata Dal - BJD,51,0,51
Indian National Congress - INC,14,0,14
Communist Party of India  (Marxist) - CPI(M),1,0,1
Independent - IND,3,0,3


1,Ichchapuram(1),ASHOK BENDALAM,110612,39783,22/22
2,Palasa(2),GOUTHU SIREESHA,101560,40350,21/21
3,Tekkali(3),ATCHANNAIDU KINJARAPU,107923,34435,24/24
4,Pathapatnam(4),MAMIDI GOVINDA RAO,89452,26527,24/24
5,Srikakulam(5),GONDU SHANKAR,117091,52521,20/20
6,Amadalavalasa(6),KOONA RAVI KUMAR,88003,35032,19/19
7,Narasannapeta(8),BAGGU RAMANAMURTHY,99951,29371,21/21
8,Rajam (9),KONDRU MURALI MOHAN,94385,20722,21/21
9,Kurupam (11),JAGADEESWARI THOYAKA,83355,23500,20/20
10,Parvathipuram (12),BONELA VIJAYA CHANDRA,83905,24414,17/17
11,Salur (13),GUMMIDI SANDHYARANI,80211,13733,18/18
12,Bobbili(14),R.V.S.K.K.RANGA RAO @ BABYNAYANA,112366,44648,19/19
13,Cheepurupalle(15),KALAVENKATARAO KIMIDI,88225,11971,20/20
14,Gajapathinagaram(16),KONDAPALLI SRINIVAS,98051,25301,20/20
15,Vizianagaram(18),ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,121241,60609,20/20
16,Srungavarapukota(19),KOLLA LALITHA KUMARI,111026,38790,21/21
17,Bhimili(20),GANTA SRINIVASA RAO,176230,92401,26/26
18,Visakhapatnam East(21),RAMAKRISHNA BABU VELAGAPUDI,132047,70877,22/22
19,Visakhapatnam West(24),P.G.V.R.NAIDU(GANABABU),90805,35184,16/16
20,Gajuwaka(25),PALLA SRINIVAS RAO,157703,95235,22/22
21,Chodavaram(26),SURYA NAGA SANYASI RAJU KALIDINDI,109651,42189,18/18
22,Madugula(27),BANDARU SATYANARAYANA MURTHY,91869,28026,17/17
23,Payakaraopet (33),ANITHA VANGALAPUDI,120042,43727,21/21
24,Narsipatnam(34),AYYANNAPATRUDU CHINTAKAYALA,99849,24676,19/19
25,Tuni(35),DIVYA YANAMALA,97206,15177,16/16
26,Prathipadu(36),VARUPULA SATYA PRABHA,103002,38768,17/17
27,Peddapuram(39),CHINA RAJAPPA NIMMAKAYALA,105685,40451,15/15
28,Kakinada City(41),VANAMADI VENKATESWARA RAO @ KONDABABU,113014,56572,17/17
29,Ramachandrapuram(42),VASAMSETTI. SUBASH,97652,26291,25/25
30,Mummidivaram(43),DATLA SUBBARAJU (BUCHIBABU),118687,38736,20/20
